shape_id,shape_pt_sequence,shape_dist_traveled,shape_pt_lon,shape_pt_lat
_1,12,,14.513819000000002,46.084854
_1,13,,14.510034999999998,46.067999
_1,14,,14.510897,46.071600000000004
_1,15,,14.508379999999999,46.063575
_1,16,,14.509041999999999,46.065239000000005
_1,17,,14.512815,46.064505000000004
_1,18,,14.513084000000001,46.064394
_1,19,,14.512968,46.063745
_1,20,,14.513533,46.06174
_1,21,,14.512704,46.059767
_1,22,,14.507284000000002,46.059717
_1,23,,14.507116,46.059967
_1,24,,14.507551000000001,46.061486
_1,25,,14.504585,46.054417
_1,26,,14.506018000000001,46.057694
_1,27,,14.503233,46.057705
_1,28,,14.501290000000001,46.056563
_1,29,,14.502643,46.05555
_1,30,,14.502013999999999,46.054772
_1,31,,14.500978,46.052201000000004
_1,32,,14.502981,46.051786
_1,33,,14.501991,46.052002
_1,34,,14.501616000000002,46.051092999999995
_1,35,,14.498603,46.051722999999996
_1,36,,14.497227,46.049043999999995
_1,37,,14.499896000000001,46.048486000000004
_1,38,,14.501296,46.049211
_1,39,,14.502,46.049032
_1,40,,14.50097,46.046355999999996
_1,41,,14.495066,46.047469
_1,42,,14.487514999999998,46.045028
_1,43,,14.488111,46.044133
_1,44,,14.487765999999999,46.044014
_1,45,,14.487009,46.044549
_1,46,,14.487315,46.044651
_1,47,,14.487765999999999,46.044014
_1,48,,14.485740000000002,46.043326
_1,49,,14.486286000000002,46.042475
_1,50,,14.483931000000002,46.041753
_1,51,,14.482103,46.041658999999996
_1,52,,14.481532000000001,46.043279999999996
_1,53,,14.482171,46.043464
_1,54,,14.482517999999999,46.042829999999995
_1,55,,14.48306,46.042771
_1,56,,14.482517999999999,46.042829999999995
_1,57,,14.482171,46.043464
_1,58,,14.487514999999998,46.045028
_1,59,,14.476703,46.041845
_1,60,,14.4792,46.042615
_1,61,,14.479864000000001,46.041835
_1,62,,14.480894000000001,46.04164
_1,63,,14.474847,46.039653
_1,64,,14.474065,46.040611999999996
_1,65,,14.468253,46.037805
_1,66,,14.463754,46.036167
_1,67,,14.461614,46.035714
_1,68,,14.46207,46.03632
_1,69,,14.462890999999999,46.03615
_1,70,,14.464616000000001,46.036894000000004
_1,71,,14.464420999999998,46.037220000000005
_1,72,,14.463986,46.037105000000004
_1,73,,14.527612,46.026486999999996
_1,74,,14.532221000000002,46.024183
_1,75,,14.534081,46.021097
_1,76,,14.534451,46.020996000000004
_1,77,,14.536273,46.018747000000005
_1,78,,14.534816000000001,46.018015000000005
_17,0,,14.51028,46.057621
_17,1,,14.51622,46.05766
_17,2,,14.519891000000001,46.057131
_17,3,,14.520796,46.057916
_17,4,,14.521464,46.057685
_17,5,,14.522053,46.058191
_17,6,,14.52477,46.058146
_17,7,,14.527163999999999,46.057286
_17,8,,14.528822,46.055932999999996
_17,9,,14.529862,46.0546
_17,10,,14.536779000000001,46.056236
_17,11,,14.540736,46.055863
_17,12,,14.558753999999999,46.056121000000005
_17,13,,14.565382,46.055053
_17,14,,14.571923000000002,46.055042
_17,15,,14.583267000000001,46.05381
_17,16,,14.583615,46.055148
_17,17,,14.583671,46.057915
_17,18,,14.585075,46.05867
_17,19,,14.585174,46.056405999999996
_17,20,,14.585915,46.053964
_17,21,,14.590769,46.053982000000005
_17,22,,14.598379,46.056217
_17,23,,14.604273000000001,46.057258000000004
_17,24,,14.608307,46.058346
_17,25,,14.609075999999998,46.05908
_17,26,,14.609461999999999,46.060634
_17,27,,14.612861,46.06033
_17,28,,14.614738,46.06071
_17,29,,14.614797,46.059875
_17,30,,14.614090999999998,46.059739
_17,31,,14.614797,46.059875
_17,32,,14.614738,46.06071
_17,33,,14.618998,46.061325
_17,34,,14.622674,46.062367
_17,35,,14.632285,46.067223999999996
_17,36,,14.63374,46.068727
_17,37,,14.634767,46.070536
_17,38,,14.640666,46.074734
_17,39,,14.642672999999998,46.075272
_17,40,,14.646267,46.075121
_17,41,,14.650619,46.075515
_17,42,,14.652606,46.075908
_17,43,,14.655751,46.077213
_17,44,,14.659524999999999,46.077776
_17,45,,14.664137,46.077972
_17,46,,14.668156,46.07936
_17,47,,14.671883,46.081576
_17,48,,14.674710999999999,46.082346
_17,49,,14.676772,46.083904000000004
_17,50,,14.678109000000001,46.086153
_17,51,,14.680571,46.087334
_17,52,,14.685457,46.087512
_17,53,,14.687800999999999,46.087917
_17,54,,14.688134,46.088228
_17,55,,14.691574,46.088561
_17,56,,14.688134,46.088228
_17,57,,14.687800999999999,46.087917
_17,58,,14.685457,46.087512
_17,59,,14.684445,46.087657
_17,60,,14.689526,46.088841
_17,61,,14.693548000000002,46.089015
_17,62,,14.695947,46.088721
_17,63,,14.706254999999999,46.086371
_17,64,,14.711883,46.084283
_17,65,,14.714673,46.083656000000005
_17,66,,14.726097,46.082895
_17,67,,14.737272999999998,46.083487000000005
_17,68,,14.737236999999999,46.084142
_17,69,,14.735629,46.087772
_17,70,,14.734897,46.088353
_17,71,,14.737313,46.088862
_17,72,,14.743891999999999,46.091049
_17,73,,14.749023,46.093804999999996
_17,74,,14.75413,46.095388
_17,75,,14.759173999999998,46.095955
_17,76,,14.760995,46.095483
_17,77,,14.762987,46.094063999999996
_17,78,,14.76422,46.093599
_17,79,,14.7661,46.093531999999996
_17,80,,14.767447,46.093865
_17,81,,14.769879,46.09509
_17,82,,14.771145,46.096343000000005
_17,83,,14.773537,46.101248
_17,84,,14.775261,46.103543
_17,85,,14.776164,46.104233
_17,86,,14.780353,46.10633
_17,87,,14.786013,46.107254
_17,88,,14.787312,46.107094000000004
_17,89,,14.786633,46.104387
_17,90,,14.783792,46.103912
_17,91,,14.784038,46.102954
_17,92,,14.783724000000001,46.102783
_17,93,,14.783833999999999,46.102391
_17,94,,14.786069000000001,46.102362
_17,95,,14.786171999999999,46.101988999999996
_17,96,,14.784988000000002,46.102028000000004
_17,97,,14.783563000000001,46.101477
_17,98,,14.78545,46.101115
_17,99,,14.786199,46.098959
_17,100,,14.786150000000001,46.098008
_17,101,,14.785798,46.097677
_17,102,,14.787657,46.097910999999996
_17,103,,14.787831,46.097316
_17,104,,14.790989,46.097698
_17,105,,14.793662000000001,46.098541
_17,106,,14.792703,46.101638
_17,107,,14.791739000000002,46.102632
_17,108,,14.789863,46.103313
_17,109,,14.787315000000001,46.103592
_17,110,,14.783987,46.103178
_17,111,,14.783930000000002,46.103978999999995
_17,112,,14.786633,46.104387
_17,113,,14.787312,46.107094000000004
_17,114,,14.794255000000001,46.104451999999995
_17,115,,14.797586999999998,46.102586
_17,116,,14.799522,46.100685
_17,117,,14.802727999999998,46.094991
_17,118,,14.8058,46.092667
_17,119,,14.808231000000001,46.091475
_17,120,,14.809483,46.090251
_17,121,,14.810444,46.09003
_17,122,,14.812620999999998,46.090424999999996
_17,123,,14.815234,46.089897
_17,124,,14.816799,46.09021
_17,125,,14.819481999999999,46.090139
_17,126,,14.827008000000001,46.092178000000004
_17,127,,14.832567000000001,46.091229
_17,128,,14.833780999999998,46.089803
_17,129,,14.836819,46.087703
_17,130,,14.837566,46.086119000000004
_17,131,,14.836743000000002,46.084683
_17,132,,14.835367,46.083274
_17,133,,14.831672000000001,46.082093
_17,134,,14.824767,46.078534000000005
_17,135,,14.824254999999999,46.077663
_17,136,,14.823925,46.075779999999995
_17,137,,14.82126,46.071035
_17,138,,14.819145,46.069232
_17,139,,14.815035,46.064116999999996
_17,140,,14.814556,46.062272
_17,141,,14.814727,46.060893
_17,142,,14.815671,46.059128
_17,143,,14.817339,46.057651
_17,144,,14.819237000000001,46.056923999999995
_17,145,,14.821051,46.056678
_17,146,,14.826021,46.057579
_17,147,,14.825996,46.057933000000006
_17,148,,14.825374,46.057773
_16,0,,14.603887,46.220618
_16,1,,14.602735999999998,46.219797
_16,2,,14.604684,46.218967
_16,3,,14.603110000000001,46.217412
_16,4,,14.602347,46.215359
_16,5,,14.599043,46.210485
_16,6,,14.598555999999999,46.208213
_16,7,,14.597378,46.20662
_16,8,,14.597106,46.204265
_16,9,,14.596279000000001,46.204384
_16,10,,14.596594,46.20554
_16,11,,14.594417000000002,46.205892999999996
_16,12,,14.594125,46.204794
_16,13,,14.594674000000001,46.204608
_16,14,,14.594759999999999,46.202833
_16,15,,14.594373,46.202115
_16,16,,14.594964,46.201903
_16,17,,14.593786,46.200559
_16,18,,14.593810999999999,46.198930000000004
_16,19,,14.592014,46.198241
_16,20,,14.591002,46.197390999999996
_16,21,,14.589335,46.193927
_16,22,,14.586876,46.190478999999996
_16,23,,14.583812,46.184211
_16,24,,14.58965,46.182981999999996
_16,25,,14.590665999999999,46.17928
_16,26,,14.59453,46.178492
_16,27,,14.594249,46.176153
_16,28,,14.594930999999999,46.174177
_16,29,,14.595310000000001,46.171168
_16,30,,14.593502,46.162477
_16,31,,14.593116,46.158995
_16,32,,14.593001000000001,46.151948
_16,33,,14.589889,46.152134000000004
_16,34,,14.590048999999999,46.151328
_16,35,,14.592206999999998,46.149433
_16,36,,14.592352,46.147786
_16,37,,14.591166000000001,46.146339
_16,38,,14.590928,46.145533
_16,39,,14.589789999999999,46.144559
_16,40,,14.590055000000001,46.144609
_16,41,,14.589993000000002,46.143095
_16,42,,14.589509000000001,46.143042
_16,43,,14.590707,46.138264
_16,44,,14.591334,46.138276000000005
_16,45,,14.591415000000001,46.137825
_16,46,,14.593312000000001,46.137928
_16,47,,14.592754,46.139501
_16,48,,14.594176,46.139483999999996
_16,49,,14.594050999999999,46.138329
_16,50,,14.593506,46.137926
_16,51,,14.588748,46.137693999999996
_16,52,,14.581281,46.135906999999996
_16,53,,14.579943,46.136033
_16,54,,14.568603999999999,46.134161
_16,55,,14.565729,46.132780000000004
_16,56,,14.566209,46.132584
_16,57,,14.567534,46.133431
_16,58,,14.567889,46.13322
_16,59,,14.567820000000001,46.132929000000004
_16,60,,14.567889,46.13322
_16,61,,14.567534,46.133431
_16,62,,14.566209,46.132584
_16,63,,14.565788000000001,46.132816000000005
_16,64,,14.560284,46.129345
_16,65,,14.559144,46.128366
_16,66,,14.56592,46.132709
_16,67,,14.559097,46.12845
_16,68,,14.553414,46.122611
_16,69,,14.546638999999999,46.113183
_16,70,,14.55114,46.119389
_16,71,,14.546638999999999,46.113183
_16,72,,14.545804999999998,46.111054
_16,73,,14.545314999999999,46.106614
_16,74,,14.543951000000002,46.104986000000004
_16,75,,14.537334999999999,46.104635
_16,76,,14.529549,46.10217
_16,77,,14.529647,46.101743
_16,78,,14.529340999999999,46.101479
_16,79,,14.526188999999999,46.101065
_16,80,,14.529340999999999,46.101479
_16,81,,14.529647,46.101743
_16,82,,14.529549,46.10217
_16,83,,14.522986,46.100867
_16,84,,14.520236,46.100995
_16,85,,14.516687999999998,46.099451
_16,86,,14.516473,46.098815
_16,87,,14.516969,46.097978
_16,88,,14.517035000000002,46.096924
_16,89,,14.516484,46.095293
_16,90,,14.513909000000002,46.091257
_16,91,,14.513867999999999,46.089494
_16,92,,14.507757000000002,46.089997
_16,93,,14.507591,46.089085999999995
_16,94,,14.507904,46.088047
_16,95,,14.507482,46.082924000000006
_16,96,,14.506523000000001,46.078755
_16,97,,14.504746,46.074981
_16,98,,14.504017999999999,46.075167
_16,99,,14.503298000000001,46.076393
_15,0,,14.51028,46.057621
_15,1,,14.504375999999999,46.057886
_15,2,,14.502393000000001,46.05738
_15,3,,14.500487000000001,46.055811
_15,4,,14.496645000000001,46.051623
_15,5,,14.494532000000001,46.050056
_15,6,,14.493528000000001,46.049813
_15,7,,14.493981999999999,46.048937
_15,8,,14.493528000000001,46.049813
_15,9,,14.494532000000001,46.050056
_15,10,,14.494184,46.048896
_15,11,,14.495066,46.047469
_15,12,,14.476703,46.041845
_15,13,,14.470136,46.038591000000004
_15,14,,14.465887,46.036963
_15,15,,14.466444999999998,46.035902
_15,16,,14.465673,46.035176
_15,17,,14.462662,46.035604
_15,18,,14.454542,46.037658
_15,19,,14.451528999999999,46.037592000000004
_15,20,,14.448855,46.036366
_15,21,,14.447756000000002,46.035013
_15,22,,14.445262,46.030377
_15,23,,14.44402,46.029354
_15,24,,14.441624999999998,46.028199
_15,25,,14.435432,46.026135
_15,26,,14.434263999999999,46.026355
_15,27,,14.433802,46.027418
_15,28,,14.430738999999999,46.026357000000004
_15,29,,14.422233,46.024542000000004
_15,30,,14.417429000000002,46.024088
_15,31,,14.417407,46.022528
_15,32,,14.416074,46.020762000000005
_15,33,,14.422262,46.022054000000004
_15,34,,14.426585,46.021963
_15,35,,14.426603,46.022821
_15,36,,14.426055999999999,46.022774
_15,37,,14.426603,46.022821
_15,38,,14.426585,46.021963
_15,39,,14.422262,46.022054000000004
_15,40,,14.416074,46.020762000000005
_15,41,,14.412555000000001,46.010996999999996
_15,42,,14.412931,46.010467
_15,43,,14.412766,46.008655
_15,44,,14.413728,46.006876999999996
_15,45,,14.413379,46.004435
