stop_id,stop_name,stop_lat,stop_lon
1274,Ljubljana Vizmarje,46.1003972,14.4644694
1275,Medno,46.1221444,14.4390528
1276,Medvode,46.13806109999999,14.4122889
1277,Retece,46.1566333,14.3712056
1278,Skofja Loka,46.1742389,14.3355444
1279,Kranj,46.239011,14.348167
1280,Ljubljana,46.0581083,14.5102778
1281,Ljubljana Brinje,46.07624999999999,14.5030111
1282,Ljubljana Jezica,46.0898556,14.5073917
1283,Ljubljana Crnuce,46.101175,14.5262528
1284,Trzin ind. cona,46.1189056,14.5509306
1285,Trzin Mlake,46.1286028,14.5596694
1286,Trzin,46.13283610000001,14.5675889
1287,Domzale,46.139275,14.5924944
1288,Rodica,46.1490306,14.592425
1289,Jarse-Menges,46.1656917,14.5939528
1290,Homec pri Kamniku,46.1798639,14.5906917
1291,Smarca,46.1930972,14.5886083
1292,Duplica-Bakovnik,46.2060361,14.59435
1293,Kamnik,46.2207028,14.60375
1294,Ljubljana,46.0581083,14.5102778
1295,Ljubljana - Vodmat,46.0557944,14.5291305
1296,Ljubljana - Rakovnik,46.0370944,14.5189833
1297,Skofljica,45.9844833,14.5729611
1298,Smarje-Sap,45.9749722,14.6175722
1299,Grosuplje,45.9560667,14.6525111
1300,Kranj,46.239011,14.348167
1301,Skofja Loka,46.1742389,14.3355444
1302,Retece,46.1566333,14.3712056
1303,Medvode,46.13806109999999,14.4122889
1304,Medno,46.1221444,14.4390528
1305,Ljubljana Vizmarje,46.1003972,14.4644694
1306,Ljubljana Stegne,46.08680560000001,14.4799778
1307,Litostroj,46.07736389999999,14.4897194
1308,Ljubljana,46.0581083,14.5102778
1309,Grosuplje,45.9560667,14.6525111
1310,Smarje-Sap,45.9749722,14.6175722
1311,Skofljica,45.9844833,14.5729611
1312,Ljubljana - Rakovnik,46.0370944,14.5189833
1313,Ljubljana - Vodmat,46.0557944,14.5291305
1314,Ljubljana,46.0581083,14.5102778
